ID Ticket GENERGY ;ID Ticket OCEANE;App;Description;Acteur;Périmètre ;Statut;Priorité;Actions réalisés;Date d'ouverture;Date de résolution;Durée de résolution;ID Jira
;2604W40787;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF06_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF06_WARN'. 1 <= 1.00 <= 2147483646] ;Mariem Hammami;Support VIO;Résolu;P3;Commande désormais débloquée;07/04/2026;07/04/2026 00:00;✅ Résolu en < 1 jour;
;2604W52483;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF06_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF06_WARN'. 1 <= 1.00 <= 2147483646] ;Akram Sahli ;Support VIO;Résolu;P3;Commande désormais débloquée;07/04/2026;07/04/2026;✅ Résolu en < 1 jour;
;2604W60485;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF06_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF06_WARN'. 1 <= 1.00 <= 2147483646] ;Akram Sahli ;Support VIO;Résolu;P3;Commande désormais débloquée;07/04/2026;07/04/2026;✅ Résolu en < 1 jour;
;2604W82328;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF06_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF06_WARN'. 1 <= 1.00 <= 2147483646] ;Akram Sahli ;Support VIO;Résolu;P3;Commande désormais débloquée;08/04/2026;08/04/2026;✅ Résolu en < 1 jour;
;2604X01536;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF06_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF06_WARN'. 1 <= 1.00 <= 2147483646] ;Akram Sahli ;Support VIO;Résolu;P3;Commande désormais débloquée;08/04/2026;08/04/2026;✅ Résolu en < 1 jour;
;2604X23875;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF06_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF06_WARN'. 1 <= 1.00 <= 2147483646] ;Akram Sahli ;Support VIO;Résolu;P3;Commande désormais débloquée;09/04/2026;09/04/2026;✅ Résolu en < 1 jour;
;2604W93536;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF06_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF06_WARN'. 1 <= 1.00 <= 2147483646] ;Mariem Hammami;Support VIO;Résolu;P3;Commande désormais débloquée;08/04/2026;09/04/2026 00:00;✅ Résolu en 1 jour;
;2604X35678;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF06_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF06_WARN'. 1 <= 1.00 <= 2147483646] ;Akram Sahli ;Support VIO;Résolu;P3;Commande désormais débloquée;09/04/2026;09/04/2026;✅ Résolu en < 1 jour;
;2604X35681;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF04_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF04_WARN'. 1 <= 1.00 <= 2147483646] ;Mariem Hammami;Support VIO;Résolu;P3;Commande désormais débloquée;09/04/2026;09/04/2026;✅ Résolu en < 1 jour;
;2604X42766;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF06_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF06_WARN'. 1 <= 1.00 <= 2147483646];Akram Sahli ;Support VIO;Résolu;P3;Commande désormais débloquée;09/04/2026;09/04/2026 00:00;✅ Résolu en < 1 jour;
;2604X62384;Fop ;sup07;Mariem Hammami;Support VIO;Résolu;P3;fichier rejoué;10/04/2026;10/04/2026;✅ Résolu en < 1 jour;
;2604X35443;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF07_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF07_WARN'. 1 <= 1.00 <= 2147483646] ;Mariem Hammami;Support VIO;Résolu;P3;fichier rejoué;09/04/2026;10/04/2026;✅ Résolu en 1 jour;
;2604X42513;Fop ;[FRONTAL_OPERATEUR] / [SMC3, ARGENT, SOX] / [SW_STRINGS / MatchingLineCount / idFOP_SUPFON_VIOXSUPF07_WARN ] : [Alarm #1 of global parameter 'MatchingLineCount' triggered on 'SW_STRINGS.idFOP_SUPFON_VIOXSUPF07_WARN'. 1 <= 1.00 <= 2147483646] ;Akram Sahli ;Support VIO;Résolu;P3;fichier rejoué;09/04/2026;10/04/2026;✅ Résolu en 1 jour;
